Phase 1: Parsing XML file and creating rules
	Total time: 19 seconds
Phase 2: Constructing the WFA
	Total time: 138 seconds
Phase 3: Inspecting interesting program points
	Total # of points 20407
	Total time: 203 seconds
Error Code, Call Sites to Dropping Function, Type, Validity, FP Type, Dropping Function, Definition of Dropping Function, SHA, Examiner, Date, Notes, 
139,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_read.c:67,Unsaved,,,,adio/common/lock.c:177,,,,
140,*MPI_ERR_TRUNCATE MPI_ERR_IN_STATUS MPI_ERR_ARG MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_REQUEST MPI_ERR_OTHER,src/mpi/coll/red_scat_block_osu.c:280,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
141,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpi/coll/red_scat_osu.c:1270,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
142,*MPI_ERR_OTHER,src/mpid/ch3/src/mpid_init.c:401,Unsaved,,,,src/mpid/ch3/channels/common/src/affinity/hwloc_bind.c:2134,,,,
143,*MPI_ERR_INTERN,src/mpi/coll/ch3_shmem_coll.c:711,Unsaved,,,,src/mpi/coll/igather_tuning.c:318,,,,
144,*MPI_ERR_ARG,adio/common/ad_darray.c:94,Unsaved,,,,adio/common/ad_darray.c:168,,,,
145,*MPI_ERR_UNKNOWN,adio/common/ad_get_sh_fp.c:57,Unsaved,,,,adio/common/lock.c:177,,,,
146,*MPI_ERR_INTERN MPI_ERR_OTHER,src/mpid/ch3/src/ch3u_port.c:795,Unsaved,,,,src/mpid/ch3/src/mpidi_pg.c:469,,,,
147,*MPI_ERR_FILE,src/mpi/errhan/file_get_errhandler.c:87,Unsaved,,,,mpi-io/mpich_fileutil.c:48,,,,
148,*MPI_ERR_OTHER,src/mpi/coll/bcast.c:1410,Unsaved,,,,src/mpi/comm/commutil.c:318,,,,
149,*MPI_ERR_INFO,adio/common/system_hints.c:170,Unsaved,,,,src/mpi/info/info_getn.c:103,,,,
150,*MPI_ERR_OTHER,src/mpi/comm/intercomm_merge.c:61,Unsaved,,,,src/mpi/comm/commutil.c:528,,,,
151,*MPI_ERR_UNKNOWN,adio/common/ad_write_str.c:214,Unsaved,,,,adio/common/lock.c:177,,,,
152,*MPI_ERR_UNKNOWN,mpi-io/read_sh.c:132,Unsaved,,,,adio/common/lock.c:177,,,,
153,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpi/coll/allgather_osu.c:2315,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
154,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/rdma/ch3_contigsend.c:175,Unsaved,,,,src/mpid/ch3/channels/mrail/src/rdma/ch3_contigsend.c:140,,,,
